Arguments: {'model_path': 'checkpoint_epoch_5.pth', 'batch_size': 512, 'epochs': 100, 'log_dir': './logs'}


Train Epoch: [1/100] Loss: 1.0617 ACC@1: 65.75% ACC@5: 94.18%
Test Epoch: [1/100] Loss: 0.5695 ACC@1: 81.03% ACC@5: 99.08%
Train Epoch: [2/100] Loss: 0.7776 ACC@1: 73.82% ACC@5: 97.24%
Test Epoch: [2/100] Loss: 0.5127 ACC@1: 82.66% ACC@5: 99.26%
Train Epoch: [3/100] Loss: 0.7413 ACC@1: 74.84% ACC@5: 97.44%
Test Epoch: [3/100] Loss: 0.4870 ACC@1: 83.50% ACC@5: 99.40%
Train Epoch: [4/100] Loss: 0.7198 ACC@1: 75.32% ACC@5: 97.54%
Test Epoch: [4/100] Loss: 0.4776 ACC@1: 83.80% ACC@5: 99.37%
Train Epoch: [5/100] Loss: 0.7104 ACC@1: 75.73% ACC@5: 97.60%
Test Epoch: [5/100] Loss: 0.4714 ACC@1: 84.13% ACC@5: 99.36%
Train Epoch: [6/100] Loss: 0.6997 ACC@1: 76.14% ACC@5: 97.72%
Test Epoch: [6/100] Loss: 0.4569 ACC@1: 84.38% ACC@5: 99.37%
Train Epoch: [7/100] Loss: 0.6993 ACC@1: 76.06% ACC@5: 97.63%
Test Epoch: [7/100] Loss: 0.4555 ACC@1: 84.37% ACC@5: 99.37%
Train Epoch: [8/100] Loss: 0.6927 ACC@1: 76.24% ACC@5: 97.68%
Test Epoch: [8/100] Loss: 0.4485 ACC@1: 84.66% ACC@5: 99.36%
Train Epoch: [9/100] Loss: 0.6886 ACC@1: 76.66% ACC@5: 97.69%
Test Epoch: [9/100] Loss: 0.4450 ACC@1: 84.73% ACC@5: 99.43%
Train Epoch: [10/100] Loss: 0.6844 ACC@1: 76.65% ACC@5: 97.75%
Test Epoch: [10/100] Loss: 0.4497 ACC@1: 84.81% ACC@5: 99.41%
Train Epoch: [11/100] Loss: 0.6805 ACC@1: 76.75% ACC@5: 97.77%
Test Epoch: [11/100] Loss: 0.4488 ACC@1: 84.65% ACC@5: 99.43%
Train Epoch: [12/100] Loss: 0.6777 ACC@1: 76.61% ACC@5: 97.85%
Test Epoch: [12/100] Loss: 0.4416 ACC@1: 84.96% ACC@5: 99.45%
Train Epoch: [13/100] Loss: 0.6714 ACC@1: 76.98% ACC@5: 97.86%
Test Epoch: [13/100] Loss: 0.4516 ACC@1: 84.61% ACC@5: 99.43%
Train Epoch: [14/100] Loss: 0.6751 ACC@1: 76.82% ACC@5: 97.79%
Test Epoch: [14/100] Loss: 0.4361 ACC@1: 85.18% ACC@5: 99.41%
Train Epoch: [15/100] Loss: 0.6741 ACC@1: 76.75% ACC@5: 97.75%
Test Epoch: [15/100] Loss: 0.4348 ACC@1: 85.00% ACC@5: 99.42%
Train Epoch: [16/100] Loss: 0.6645 ACC@1: 77.20% ACC@5: 97.77%
Test Epoch: [16/100] Loss: 0.4323 ACC@1: 85.14% ACC@5: 99.46%
Train Epoch: [17/100] Loss: 0.6660 ACC@1: 77.00% ACC@5: 97.80%
Test Epoch: [17/100] Loss: 0.4302 ACC@1: 85.22% ACC@5: 99.45%
